No.,US,AC,Step,Title,Expectation,Priority
1,US1: Save and insert predefined responses in chats,AC1: Add Saved Response button in Editor nav,"1. Login as Coach
2. Open a conversation
3. Observe the Editor nav
4. Verify Saved Responses button",button present next to GIF button,- SHOULD display a Saved Responses button next to the GIF button,High
2,,,"1. Login as Coach
2. Open a conversation
3. Hover over the Saved Responses button
4. Verify tooltip",button tooltip on hover,- SHOULD show tooltip: Saved Responses,Medium
3,,AC2: Saved Response popup,"1. Login as Coach
2. Open a conversation
3. Click the Saved Responses button
4. Verify modal",modal opens on button click,- SHOULD display the Saved Responses modal,High
4,,,"1. Login as Coach
2. Open a conversation
3. Press Ctrl/Cmd+K
4. Verify modal",modal opens on Ctrl/Cmd+K shortcut,- SHOULD display the Saved Responses modal,High
5,,,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal (has no saved responses)
4. Verify empty state",empty state message,"- SHOULD display empty state: image + ""Your saved responses list is empty. Start by creating your first one to save time during chats.""",Medium
6,,,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal (has saved responses)
4. Verify modal elements",modal structure with saved responses,"- SHOULD display X button
- SHOULD display Search box
- SHOULD display Create new button in top-right corner",High
7,,,,Create new button tooltip,- SHOULD show tooltip: Create New when hovering over Create new button,Low
8,,,,list ordered by latest updated time,"- SHOULD display saved response list items below the Search box, ordered by latest updated time",High
9,,,,FREQUENTLY USED section — top 5 responses,"- SHOULD display FREQUENTLY USED section with top 5 most-used responses
- SHOULD sort by usage_count descending, then title A-Z",High
10,,,,FREQUENTLY USED hidden when no usage,- SHOULD hide FREQUENTLY USED section if no frequently used responses exist,Medium
11,,,,usage count increments per user on append,"- SHOULD increment usage count each time a response is appended to the chatbox, counted per user",High
12,,,,ALL section sorted A-Z,- SHOULD display ALL section listing all saved responses sorted by title A-Z,High
13,,,,first response selected by default,- SHOULD select the first saved response by default,Medium
14,,,,arrow key navigation,- SHOULD allow Up and Down arrow keys to move between responses,Medium
15,,,,message detail panel on right,- SHOULD display title and message detail on the right side of the modal for the selected response,High
16,,,,3-dot button on hover over message detail,- SHOULD show 3-dot button when hovering over message detail,Medium
17,,,,long message scrollable,- SHOULD allow scrolling for long messages in the detail view,Medium
18,,,,hover title updates detail view,- SHOULD update the message detail view when hovering over a title in the list,Medium
19,,,,click title fills chatbox,- SHOULD fill the chatbox with the response message when clicking on a title,High
20,,,,pagination loads 20 items with Load more,- SHOULD load 20 items per page and show Load more on scroll,Medium
21,,,,footer shortcuts,- SHOULD display footer with shortcuts: X button or Esc to close popup,Low
22,,,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. Click X button or press Esc
5. Verify modal",X button / Esc closes modal,- SHOULD close the Saved Responses modal,High
23,,AC3: Search box behaviors,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. Observe the Search box (unfocused)
5. Verify Search box default state",search box default state,- SHOULD display Search box empty with placeholder: Search saved response,Medium
24,,,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. Click/focus the Search box
5. Verify placeholder",placeholder on focus,- SHOULD change placeholder to: Enter keyword...,Low
25,,,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. {method} a keyword in the Search box
5. Verify search input",input shows x icon,- SHOULD display an x icon when text is entered,Low
26,,,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. Enter a keyword in Search
5. Click x icon or press backspace to remove text
6. Verify list",x icon / backspace clears search and restores list,- SHOULD remove text and show the full response list,Medium
27,,,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. Type 1 character in Search
5. Verify search triggers",search starts from 1 character,- SHOULD start searching from the first character entered,Medium
28,,,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. Search by title partial keyword (any case)
5. Verify results","search matches by title (case-insensitive, partial)","- SHOULD return matching results based on title field (case-insensitive, partial match)",High
29,,,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. Search by message body partial keyword (any case)
5. Verify results","search matches by message (case-insensitive, partial)","- SHOULD return matching results based on message field (case-insensitive, partial match)",High
30,,,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. Search for a keyword with no matching results
5. Verify state",no results state,- SHOULD show: Search results (0),Medium
31,,,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. Search for a keyword with matching results
5. Verify result list",results found state,- SHOULD show: Search results ({number_of_matched_results}) and list results as per AC2,High
32,,,,first search result selected by default,- SHOULD select the first result by default,Medium
33,,,,search pagination loads 20 items,- SHOULD load every 20 items in search results,Medium
34,,AC4: 3-dot button behaviors,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. Hover over message detail to reveal 3-dot button
5. Click the 3-dot button
6. Verify submenu",submenu options on 3-dot click,- SHOULD display submenu with options: Edit response and Delete response,High
35,,AC5: Add a new saved response,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. Click Create new button
5. Verify popup",Create Saved Response popup opens,- SHOULD display Create Saved Response popup with title: Create Saved Response,High
36,,,,popup X button closes,- SHOULD close the popup when clicking [X] button,Medium
37,,,,"TITLE field — required, tooltip, placeholder","- SHOULD display TITLE field as required
- SHOULD show tooltip: Used to organize responses. This won't appear in messages.
- SHOULD show placeholder: Name this response for easy search",High
38,,,"1. Login as Coach
2. Open a conversation
3. Open Create Saved Response popup
4. Paste text exceeding 140 characters in TITLE field
5. Verify input",TITLE field 140 char max — excess cut on paste,- SHOULD allow max 140 characters; excess text cut off on paste,Medium
