No.,US,AC,Step,Title,Expectation,Priority
1,US1: Save and quickly insert predefined responses in chats,AC1: Add Saved Response button in Editor nav,"1. Login as Coach
2. Open a conversation in Inbox
3. Verify Saved Responses button in Editor nav",button position next to GIF,- SHOULD display Saved Responses button next to GIF button,High
2,,,"3. Hover over Saved Responses button
4. Verify tooltip",button hover tooltip,"- SHOULD show tooltip ""Saved Responses""",Medium
3,,AC2: Saved Response popup,"1. Login as Coach
2. Open a conversation in Inbox
3. Click Saved Responses button
4. Verify Saved Responses modal",popup opens on button click,- SHOULD display Saved Responses modal with saved responses list,Critical
4,,,"3. Press Ctrl/Cmd + K
4. Verify Saved Responses modal",popup opens via keyboard shortcut,- SHOULD display Saved Responses modal,High
5,,,"5. Click X button
6. Verify modal closed",X button closes popup,- SHOULD close the modal,High
6,,,"5. Press Esc key
6. Verify modal closed",Esc key closes popup,- SHOULD close the modal,Medium
7,,,"1. Login as Coach with no saved responses
2. Open a conversation in Inbox
3. Click Saved Responses button
4. Verify modal empty state",empty saved responses list,"- SHOULD display empty state with message ""Your saved responses list is empty. Start by creating your first one to save time during chats.""",High
8,,,5. Verify Create New button,Create New button position,- SHOULD display Create New button in top-right corner of modal,Medium
9,,,"5. Hover over Create New button
6. Verify tooltip",Create New button hover tooltip,"- SHOULD show tooltip ""Create New""",Low
10,,,5. Verify FREQUENTLY USED section (no responses used),FREQUENTLY USED hidden when empty,- SHOULD hide FREQUENTLY USED section when no responses have usage count,Medium
11,,,5. Verify FREQUENTLY USED section (responses used frequently),FREQUENTLY USED top 5 most-used,- SHOULD show top 5 most-used saved responses in FREQUENTLY USED section,Medium
12,,,,FREQUENTLY USED fewer than 5,- SHOULD show all available responses when fewer than 5 frequently used,Medium
13,,,,FREQUENTLY USED sort order,"- SHOULD sort by usage_count descending, then title A-Z when equal",Medium
14,,,"5. Select a saved response from popup
6. Reopen Saved Responses popup
7. Verify FREQUENTLY USED section",usage count increment per selection,- SHOULD increment usage count for that response per user,Medium
15,,,5. Verify ALL section,ALL section sorted A-Z,- SHOULD list all saved responses sorted by title A-Z in ALL section,Medium
16,,,,first response selected by default,- SHOULD select the first saved response in the list by default,Medium
17,,,"5. Press Down/Up arrow keys
6. Verify selection changes",arrow key navigation,- SHOULD move selection between responses using Up/Down arrow keys,Medium
18,,,5. Verify right-side detail panel,selected response detail display,- SHOULD show title and message detail of current selected response on right side,High
19,,,"5. Hover between saved response titles
6. Verify detail panel updates",hover to preview message detail,- SHOULD update right-side detail when hovering between titles,Medium
20,,,"5. Hover over message detail area
6. Verify 3-dot button",3-dot button on hover over detail,- SHOULD show 3-dot button when hovering over message detail,Medium
21,,,5. Verify message detail with long content,scrollable long message,- SHOULD allow scrolling when message content is long,Low
22,,,5. Verify saved responses list with more than 20 items,pagination load 20 with load more,- SHOULD load 20 items initially and show Load more on scroll down,Medium
23,,,5. Verify footer,footer shortcuts display,- SHOULD display list of shortcuts in footer,Low
24,,AC3: Search box behaviors,"1. Login as Coach
2. Open a conversation in Inbox
3. Click Saved Responses button
4. Verify Search box",default placeholder,"- SHOULD display empty search box with placeholder ""Search saved response""",Medium
25,,,"5. Click on Search box
6. Verify placeholder change",focus placeholder change,"- SHOULD change placeholder to ""Enter keyword..."" on focus",Low
26,,,"5. Type text in Search box
6. Verify x icon",x icon on input,- SHOULD display x icon when inputting text,Medium
27,,,"7. Clear text via x icon or Backspace
8. Verify search cleared",clear search input,- SHOULD remove search text and show full list,Medium
28,,,"5. Type 1 character in Search box
6. Verify search results",search starts from 1 character,- SHOULD start searching from 1 character input,Medium
29,,,,search by title and message,- SHOULD return results where title or message contains search keyword,High
30,,,,case-insensitive partial match,- SHOULD match case-insensitively and partially,Medium
31,,,"5. Search with keyword that has no matches
6. Verify no results",no results found display,"- SHOULD display ""Search results (0)""",Medium
32,,,"5. Search with keyword that has matches
6. Verify results",results found with count,"- SHOULD display ""Search results ({N})"" with matching count",Medium
33,,,,first search result selected,- SHOULD select first search result by default,Medium
34,,,,search results pagination,- SHOULD load 20 results with Load more on scroll,Low
35,,AC4: 3-dot button behaviors,"1. Login as Coach
2. Open a conversation in Inbox
3. Click Saved Responses button
4. Hover over a saved response item
5. Click 3-dot button
6. Verify submenu",submenu options,"- SHOULD show submenu with ""Edit response"" and ""Delete response"" options",High
36,,AC5: Add a new saved response,"1. Login as Coach
2. Open a conversation in Inbox
3. Click Saved Responses button
4. Click Create New button
5. Verify Create Saved Response popup",popup display,"- SHOULD display Create Saved Response popup with title ""Create Saved Response""",High
37,,,"6. Click X button
7. Verify popup closed",X button closes popup,- SHOULD close Create Saved Response popup,Medium
