No.,US,AC,Step,Title,Expectation,Priority
1,"US1: As a coach who frequently messages clients, I want to save and quickly insert predefined responses in chats, so that I can respond faster and maintain consistency in my communication without typing the same messages repeatedly",AC1: Add Saved Response button in Editor nav,"1. Login as Coach
2. Navigate to conversation
3. Observe Editor nav
4. Verify Saved Responses button",button shown next to GIF button,- SHOULD display Saved Responses button next to GIF button,High
2,,,"5. Hover over Saved Responses button
6. Verify tooltip",tooltip on hover,- SHOULD show tooltip 'Saved Responses \',Medium
3,,AC2: Saved Response popup,"1. Login as Coach
2. Navigate to conversation
3. Click Saved Responses button
4. Verify modal",modal shown on click,- SHOULD display Saved Responses modal,Critical
4,,,"3. Press Ctrl/Cmd + K
4. Verify modal",modal shown via shortcut,- SHOULD display Saved Responses modal via shortcut Ctrl/Cmd + K,High
5,,,5. Verify modal with empty state,empty state display,"- SHOULD display image, heading, and text for empty state",High
6,,,5. Verify modal with saved responses,modal structure with responses,"- SHOULD display X button, Search box, Create new button, and list of saved responses",Critical
7,,,"6. Verify X button
7. Click X button
8. Verify modal closed",X button closes modal,- SHOULD close modal on X button click,High
8,,,"6. Verify Search box
7. Observe placeholder",search box placeholder,- SHOULD show placeholder 'Search saved response',Medium
9,,,"8. Verify Create new button
9. Observe button location",create new button placement,- SHOULD place Create new button in top-right corner,Medium
10,,,"10. Hover over Create new button
11. Verify tooltip",create new button tooltip,- SHOULD show tooltip 'Create New' on hover,Low
11,,,12. Verify left-side list,left-side list structure,- SHOULD display list of saved response titles on left-side,Critical
12,,,13. Verify FREQUENTLY USED section,frequently used section shown,- SHOULD display FREQUENTLY USED section when frequently used responses exist,High
13,,,,frequently used section hidden,- SHOULD hide FREQUENTLY USED section when no frequently used responses exist,Medium
14,,,14. Verify top 5 most-used responses in FREQUENTLY USED section,top 5 shown,- SHOULD show top 5 most-used saved responses by user,High
15,,,,fewer than 5,- SHOULD show all available responses if fewer than 5,Medium
16,,,,sort order,"- SHOULD sort by usage_count descending, then by title ascending (A-Z) when usage_count is equal",High
17,,,15. Verify ALL section,ALL section displayed,- SHOULD display ALL section with all saved responses,Critical
18,,,,ALL section sort order,- SHOULD sort ALL section by title A-Z,High
19,,,16. Verify first saved response selected by default,default selection,- SHOULD select first saved response in list by default,High
20,,,"17. Press arrow keys (Up, Down)
18. Verify navigation",arrow key navigation,"- SHOULD move between responses using arrow keys (Up, Down)",High
21,,,19. Verify right-side message detail,message detail structure,- SHOULD display title and message detail of current-selecting saved response on right-side,Critical
22,,,"20. Hover over message detail
21. Verify 3-dot button",3-dot button on hover,- SHOULD show 3-dot button when hovering over message detail,High
23,,,22. Verify long message scrolling,scrolling for long message,- SHOULD allow scrolling if message is long,Medium
24,,,"23. Hover over saved response title in list
24. Verify message detail preview",hover preview,- SHOULD show message detail when hovering between title of saved-responses list,Medium
25,,,25. Verify pagination initial load,initial 20 items loaded,- SHOULD load every 20 items initially,High
26,,,"26. Scroll down
27. Verify Load more button",load more on scroll,- SHOULD display Load more button when user scrolls down,High
27,,,"28. Click Load more button
29. Verify next 20 items loaded",next 20 items,- SHOULD get next 20 items when Load more is clicked,High
28,,,30. Verify footer shortcuts,footer shortcut display,- SHOULD display list of shortcuts in footer,Low
29,,,"31. Click X button
32. Verify modal closed",X button closes popup,- SHOULD close popup on X button click,High
30,,,"31. Press Esc key
32. Verify modal closed",Esc key closes popup,- SHOULD close popup on Esc key press,High
31,,AC3: Search box behaviors,"1. Login as Coach
2. Navigate to conversation
3. Open Saved Responses popup
4. Verify Search box
5. Observe placeholder",default placeholder,- SHOULD show placeholder 'Search saved response' by default,Medium
32,,,"6. Focus to Search box
7. Verify placeholder change",placeholder on focus,- SHOULD change placeholder to 'Enter keyword...' when focused,Low
33,,,"8. Input text
9. Verify x icon shown",x icon on input,- SHOULD display x icon when inputting text,Medium
34,,,"10. Press backspace
11. Verify text removed",remove text via backspace,- SHOULD remove text by backspace,Medium
35,,,"10. Click x icon
11. Verify text removed",remove text via x icon,- SHOULD remove text by clicking x icon,Medium
36,,,"12. Remove search input
13. Verify full list shown",show full list after clearing,- SHOULD show back the full list when search input is removed,High
37,,,"14. Input 1 character
15. Verify search starts",search from 1 char,- SHOULD start searching from 1 character,High
38,,,"16. Input keyword
17. Verify search in title and message",search in title and message,- SHOULD search based on title and message fields,Critical
39,,,"18. Input mixed case keyword
19. Verify case-insensitive search",case-insensitive matching,- SHOULD match case-insensitively,High
40,,,"20. Input partial keyword
21. Verify partial match",partial matching,- SHOULD match partially (keyword appears anywhere within field),High
41,,,"22. Search with no results
23. Verify no results message",no results display,- SHOULD show 'Search results (0)' when no results found,High
42,,,"24. Search with matching results
25. Verify results count",matching results count,- SHOULD show 'Search results ({number_of_matched_results})' below Search box,High
43,,,26. Verify search results list,results list display,- SHOULD show list of results same as AC2,High
44,,,27. Verify first result selected,default result selection,- SHOULD select first result to view by default,High
45,,,28. Verify pagination for search results,search results pagination initial,- SHOULD load every 20 items for search results,Medium
46,,,"29. Scroll down search results
30. Verify Load more button",search results load more,- SHOULD display Load more button when user scrolls down search results,Medium
47,,,"31. Click Load more
32. Verify next 20 items loaded",next 20 search results,- SHOULD get next 20 items when Load more is clicked for search results,Medium
48,,AC4: 3-dot button behaviors,"1. Login as Coach
2. Navigate to conversation
3. Open Saved Responses popup
4. Select saved response
5. Click 3-dot button
6. Verify submenu",submenu shown on click,- SHOULD show submenu containing Edit response and Delete response options,High
49,,AC5: Add a new saved response,"1. Login as Coach
2. Navigate to conversation
3. Open Saved Responses popup
4. Click Create new button
5. Verify Create Saved Response popup",create popup shown,- SHOULD display Create Saved Response popup,Critical
50,,,6. Verify popup title,popup title,- SHOULD show title 'Create Saved Response',Low
51,,,7. Verify X button,X button shown,- SHOULD display X button,Medium
52,,,8. Verify TITLE field,TITLE field structure,- SHOULD display TITLE field with required indicator and info icon,High
53,,,"9. Hover over info icon
10. Verify tooltip",TITLE field tooltip,- SHOULD show tooltip 'Used to organize responses. This won\'t appear in messages..' on hover over info icon,Low
54,,,11. Verify TITLE field placeholder,TITLE field placeholder,- SHOULD show placeholder 'Name this response for easy search' in TITLE field,Low
55,,,12. Verify MESSAGE field,MESSAGE field structure,- SHOULD display MESSAGE field with required indicator,High
56,,,13. Verify MESSAGE field placeholder,MESSAGE field placeholder,- SHOULD show placeholder 'Write the full message you want to send to clilents' in MESSAGE field,Low
57,,,14. Verify Cancel button,Cancel button shown,- SHOULD display Cancel button,Medium
58,,,,Cancel button enabled,- SHOULD enable Cancel button always,Medium
59,,,15. Verify Save button default state,Save button disabled by default,- SHOULD disable Save button by default,High
60,,,"16. Input all characters in TITLE field
17. Verify input accepted",TITLE all characters allowed,- SHOULD allow all characters in TITLE field,Medium
61,,,"18. Input 140 characters in TITLE field
19. Verify max limit reached",TITLE 140 char limit,- SHOULD allow maximum 140 characters in TITLE field,High
62,,,"20. Input 141st character in TITLE field
21. Verify input blocked",TITLE input blocked at max,- SHOULD block input if 140 characters reached in TITLE field,High
63,,,"22. Paste text over 140 characters in TITLE field
23. Verify truncation",TITLE paste truncation,- SHOULD cut off and paste first 140 characters when pasting text over 140 characters in TITLE field,High
64,,,"24. Input any characters in MESSAGE field
25. Verify input accepted",MESSAGE any characters allowed,- SHOULD allow any characters in MESSAGE field,Medium
65,,,"26. Attempt text formatting in MESSAGE field
27. Verify formatting blocked",MESSAGE no text-formatting,- SHOULD not allow text-formatting in MESSAGE field,Medium
66,,,"28. Paste formatted text in MESSAGE field
29. Verify formatting cleared",MESSAGE clear formatting on paste,- SHOULD clear text-formatting when pasting formatted text paragraph in MESSAGE field,Medium
67,,,"30. Input characters in MESSAGE field
31. Verify character count shown",MESSAGE character count display,- SHOULD show character count as '{X}/10000' where {X} is total number of characters,Medium
68,,,"32. Input 10,000 characters in MESSAGE field
33. Verify max limit reached","MESSAGE 10,000 char limit","- SHOULD allow maximum 10,000 characters in MESSAGE field",High
69,,,"34. Input 10,001st character in MESSAGE field
35. Verify input blocked",MESSAGE input blocked at max,"- SHOULD block input if 10,000 characters reached in MESSAGE field",High
70,,,"36. Paste text over 10,000 characters in MESSAGE field
37. Verify truncation",MESSAGE paste truncation,"- SHOULD cut off and paste first 10,000 characters when pasting text over 10,000 characters in MESSAGE field",High
71,,,"38. Click Cancel button
39. Verify popup closed",Cancel closes popup,- SHOULD close popup on clicking Cancel button,High
72,,,"38. Click X button
39. Verify popup closed",X button closes popup,- SHOULD close popup on clicking X button,High
73,,,"40. Input text in TITLE field only
41. Verify Save button state",Save button with TITLE only,- SHOULD keep Save button disabled when only TITLE field has input,High
74,,,"42. Input text in MESSAGE field only
43. Verify Save button state",Save button with MESSAGE only,- SHOULD keep Save button disabled when only MESSAGE field has input,High
75,,,"44. Input text in both TITLE and MESSAGE fields
45. Verify Save button enabled",Save button enabled with both fields,- SHOULD enable Save button when both TITLE and MESSAGE fields have input,Critical
76,,,"46. Click Save button
47. Verify saved response added",save creates new response,- SHOULD add new saved response to list on clicking Save button,Critical
77,,,48. Verify toast message,success toast on save,- SHOULD display toast 'New Saved Response created.' after successful save,High
78,,AC6: Edit a saved response,"1. Login as Coach
2. Navigate to conversation
3. Open Saved Responses popup
4. Select saved response
5. Click 3-dot button
6. Click Edit response option
7. Verify Edit Saved Response popup",edit popup shown,- SHOULD display Edit Saved Response popup,Critical
79,,,8. Verify popup title,edit popup title,- SHOULD show title 'Edit Saved Response',Low
80,,,9. Verify TITLE field pre-populated,TITLE pre-populated,- SHOULD pre-populate TITLE field with existing shortcut,High
81,,,10. Verify MESSAGE field pre-populated,MESSAGE pre-populated,- SHOULD pre-populate MESSAGE field with existing message,High
82,,,"11. Make no changes
12. Click X button
13. Verify popup closed without confirmation",X closes without changes,- SHOULD close popup without confirmation if no changes made,High
83,,,"11. Make changes
12. Click X button
13. Verify Discard changes popup shown",discard popup on X with changes,- SHOULD show Discard changes popup if changes made and X clicked,High
84,,,14. Verify Discard changes popup structure,discard popup structure,"- SHOULD display title 'Discard Changes?', text, Cancel button, X icon, and Discard Changes button",Medium
85,,,"15. Click Cancel button in Discard changes popup
16. Verify discard popup closed",Cancel closes discard popup,- SHOULD close Discard changes popup on clicking Cancel button,Medium
86,,,"15. Click X icon in Discard changes popup
16. Verify discard popup closed",X closes discard popup,- SHOULD close Discard changes popup on clicking X icon,Medium
87,,,"15. Click Discard Changes button
16. Verify popup closed without saving",discard button closes without save,- SHOULD close Discard changes popup and Edit popup without saving changes on clicking Discard Changes button,High
88,,,"17. Edit TITLE and MESSAGE fields
18. Click Save button
19. Verify saved response updated",save updates response,- SHOULD update saved response on clicking Save button,Critical
89,,,20. Verify toast message,success toast on update,- SHOULD display toast 'Saved Response updated successfully.' after successful update,High
90,,AC7: Delete a saved response,"1. Login as Coach
2. Navigate to conversation
3. Open Saved Responses popup
4. Select saved response
5. Click 3-dot button
6. Click Delete response option
7. Verify confirmation popup",delete confirmation shown,- SHOULD display confirmation popup with title 'Delete Response?',Critical
91,,,8. Verify confirmation popup structure,confirmation popup structure,"- SHOULD display text, Cancel button, and OK button in confirmation popup",Medium
92,,,"9. Click Cancel button
10. Verify popup closed without delete",Cancel closes without delete,- SHOULD close popup without deleting on clicking Cancel button,High
93,,,"9. Click OK button
10. Verify saved response deleted",OK deletes response,- SHOULD delete saved response on clicking OK button,Critical
94,,,11. Verify toast message,success toast on delete,- SHOULD display toast 'Saved Response deleted.' after successful delete,High
95,,AC8: Add saved response to chat box by selecting an item in Saved Response popup,"1. Login as Coach
2. Navigate to conversation
3. Open Saved Responses popup
4. Click title of saved response item
5. Verify message appended to chatbox",click title appends message,- SHOULD append full message content into chatbox behind current text when clicking title,Critical
96,,,"4. Press ENTER on selected saved response
5. Verify message appended to chatbox",ENTER appends message,- SHOULD append full message content into chatbox behind current text when pressing ENTER,High
97,"US2: As a coach who frequently messages clients, I want to create a saved response from a message in the conversation, so that I add a new saved response quicker",AC1: Add 'Save this response' button to Coach's non-text message,"1. Login as Coach with Pro/Studio plan
2. Navigate to conversation
3. Hover over Coach's non-text message
4. Verify Save this response button",button shown on hover,- SHOULD display Save this response button between 3-dot and Reply buttons for Coach's non-text message,High
98,,,,button hidden on Free plan,- SHOULD not show Save this response button if workspace is not in paid-plan including Saved Response feature,High
99,,,"5. Hover over Save this response button
6. Verify tooltip",button tooltip,- SHOULD show tooltip 'Saved this response' on hovering Save this response button,Low
100,,AC2: Add new saved response from the conversation,"1. Login as Coach with Pro/Studio plan
2. Navigate to conversation
3. Hover over Coach's non-text message
4. Click Save this response button
5. Verify Add To Saved Responses popup",popup shown on click,- SHOULD show popup same as AC5 with adjusted title 'Add To Saved Responses',Critical
