No.,US,AC,Step,Title,Expectation,Priority
1,"US1: As a coach who frequently messages clients, I want to save and quickly insert predefined responses in chats, so that I can respond faster and maintain consistency in my communication without typing the same messages repeatedly",AC1: Add Saved Response button in Editor nav,"1. Login as Coach
2. Open conversation in Editor
3. Verify Editor nav",button next to GIF button,- SHOULD display Saved Responses button next to GIF button,High
2,,,,hover tooltip,"- SHOULD show tooltip ""Saved Responses \""",Medium
3,,AC2: Saved Response popup,"1. Login as Coach
2. Open conversation in Editor
3. Click Saved Responses button
4. Verify modal",modal shown on click,- SHOULD display Saved Responses modal,High
4,,,1. Verify empty state,empty state message,"- SHOULD display empty state message: ""Your saved responses list is empty. Start by creating your first one to save time during chats.""",High
5,,,1. Verify modal layout,modal layout with responses,"- SHOULD display left-side list of saved response titles
- SHOULD display right-side message detail of selected response",High
6,,,"1. Verify X button
2. Close modal via X button / Esc key
3. Verify modal closed",X button display / close via X / Esc,"- SHOULD display X button in top-right corner
- SHOULD close the modal",High
7,,,1. Verify Search box,Search box in modal,- SHOULD display Search box,High
8,,,1. Verify Create new button,Create new button,"- SHOULD display ""Create new"" button in top-right corner",High
9,,,,hover Create new tooltip,"- SHOULD show tooltip ""Create New"" on hover",Medium
10,,,1. Verify FREQUENTLY USED section,FREQUENTLY USED section displayed,- SHOULD display FREQUENTLY USED section when frequently used responses exist,High
11,,,,FREQUENTLY USED section hidden,- SHOULD hide FREQUENTLY USED section when no frequently used responses exist,Medium
12,,,1. Verify FREQUENTLY USED items,top 5 most-used responses,- SHOULD display top 5 most-used saved responses by usage_count descending,High
13,,,,fewer than 5 responses,- SHOULD display all available responses when fewer than 5,Medium
14,,,,equal usage_count sort,- SHOULD sort by title ascending (A-Z) when usage_count is equal,Medium
15,,,1. Verify ALL section,ALL section with responses,- SHOULD display ALL section with all saved responses sorted by title A-Z,High
16,,,1. Verify first item selection,first item auto-selected,- SHOULD select the first saved response in the list by default,High
17,,,"1. Select a saved response
2. Press arrow keys (Up, Down)
3. Verify navigation",arrow key navigation,- SHOULD allow navigation between responses using arrow keys,Medium
18,,,"1. Select a saved response
2. Verify right-side detail",message detail display,- SHOULD display title and message_detail on right-side,High
19,,,"1. Hover over message detail
2. Verify 3-dot button",3-dot button on hover,- SHOULD show 3-dot button when hovering over message detail,Medium
20,,,"1. Select response with long message
2. Verify scrolling",scroll long message,- SHOULD allow scrolling if the message is long,Medium
21,,,"1. Hover over different response titles
2. Verify detail update",hover preview message,- SHOULD display message detail when hovering over title,Medium
22,,,1. Verify initial load,pagination initial load,- SHOULD load first 20 items,High
23,,,"1. Scroll down
2. Verify Load more",pagination Load more,"- SHOULD display Load more button when scrolled down
- SHOULD load next 20 items when Load more clicked",High
24,,,1. Verify footer shortcuts,footer shortcut display,- SHOULD display list of shortcuts in footer,Medium
25,,AC3: Search box behaviors,"1. Login as Coach
2. Open Saved Responses modal
3. Verify Search box default state",Search box placeholder default,"- SHOULD display placeholder ""Search saved response"" by default",Medium
26,,,"1. Open Saved Responses modal
2. Focus on Search box
3. Verify placeholder",Search box placeholder on focus,"- SHOULD change placeholder to ""Enter keyword..."" when focused",Medium
27,,,"1. Open Saved Responses modal
2. Input text in Search box
3. Verify x icon",x icon shown on input,- SHOULD display x icon when inputting text,Medium
28,,,"1. Open Saved Responses modal
2. Input text in Search box
3. Press backspace
4. Verify text removal",clear via backspace,- SHOULD remove text when backspace pressed,Medium
29,,,"1. Open Saved Responses modal
2. Input text in Search box
3. Click x icon
4. Verify search cleared",clear via x icon,- SHOULD remove text and show full list when x icon clicked,Medium
30,,,"1. Open Saved Responses modal
2. Input 1 character in Search box
3. Verify search starts",search starts from 1 char,- SHOULD start searching from 1 character,High
31,,,"1. Open Saved Responses modal
2. Input keyword matching title or message
3. Verify search results",search by title and message,- SHOULD return all saved responses where title or message contains the search keyword,High
32,,,"1. Open Saved Responses modal
2. Input keyword with mixed case
3. Verify search results",case-insensitive search,- SHOULD return results case-insensitively,Medium
33,,,"1. Open Saved Responses modal
2. Input partial keyword
3. Verify search results",partial match search,- SHOULD return results when keyword appears anywhere within title or message field,Medium
34,,,"1. Open Saved Responses modal
2. Input keyword with no matches
3. Verify no results display",no results found,"- SHOULD display ""Search results (0)"" when no matches found",Medium
35,,,"1. Open Saved Responses modal
2. Input keyword with matches
3. Verify results count",matching results count,"- SHOULD display ""Search results ({number_of_matched_results})"" below Search box",Medium
36,,,"1. Open Saved Responses modal
2. Input keyword with matches
3. Verify first result selection",first search result auto-selected,- SHOULD select the first result by default,Medium
37,,,"1. Open Saved Responses modal
2. Input keyword with 21+ matches
3. Verify pagination",search results pagination,"- SHOULD load first 20 items
- SHOULD display Load more button when scrolled down and load next 20 items",High
38,,AC4: 3-dot button behaviors,"1. Login as Coach
2. Open Saved Responses modal
3. Click 3-dot button on a saved response
4. Verify submenu",3-dot submenu shown,- SHOULD display submenu with Edit response and Delete response options,High
39,,AC5: Add a new saved response,"1. Login as Coach
2. Open Saved Responses modal
3. Click Create new button
4. Verify popup",Create Saved Response popup,- SHOULD display Create Saved Response popup,High
40,,,"1. Open Create Saved Response popup
2. Verify popup title",popup title,"- SHOULD display title ""Create Saved Response""",Medium
41,,,"1. Verify X button and Cancel button
2. Close popup via X / Cancel
3. Verify popup closed",X button / Cancel closes popup,"- SHOULD display X button
- SHOULD close the popup",High
42,,,"1. Open Create Saved Response popup
2. Verify TITLE field",TITLE field displayed,- SHOULD display TITLE field with icon and required indicator,High
43,,,"1. Open Create Saved Response popup
2. Hover over TITLE field icon
3. Verify tooltip",TITLE field tooltip,"- SHOULD show tooltip ""Used to organize responses. This won't appear in messages..""",Medium
44,,,"1. Open Create Saved Response popup
2. Verify TITLE field default state",TITLE field placeholder,"- SHOULD display placeholder ""Name this response for easy search""",Medium
45,,,"1. Open Create Saved Response popup
2. Input text in TITLE field
3. Verify input allowed",TITLE field allows all characters,- SHOULD allow all characters,Medium
46,,,"1. Input 140 characters in TITLE field / Paste text >140 characters
2. Verify max limit",TITLE field max 140 chars,"- SHOULD prevent input after 140 characters
- SHOULD cut off and paste only the first 140 characters",High
47,,,"1. Open Create Saved Response popup
2. Verify MESSAGE field",MESSAGE field displayed,- SHOULD display MESSAGE field with required indicator,High
48,,,"1. Open Create Saved Response popup
2. Verify MESSAGE field default state",MESSAGE field placeholder,"- SHOULD display placeholder ""Write the full message you want to send to clilents""",Medium
49,,,"1. Open Create Saved Response popup
2. Input text in MESSAGE field
3. Verify input allowed",MESSAGE field allows characters,- SHOULD allow any characters without text-formatting,Medium
50,,,"1. Open Create Saved Response popup
2. Paste formatted text in MESSAGE field
3. Verify formatting cleared",MESSAGE field clears formatting,- SHOULD clear text-formatting when pasting formatted text,Medium
51,,,"1. Open Create Saved Response popup
2. Input text in MESSAGE field
3. Verify character count",MESSAGE field character count,"- SHOULD display character count as ""{X}/10000""",Medium
52,,,"1. Input 10,000 characters in MESSAGE field / Paste text >10,000 characters
2. Verify max limit","MESSAGE field max 10,000 chars","- SHOULD prevent input after 10,000 characters
- SHOULD cut off and paste only the first 10,000 characters",High
53,,,"1. Open Create Saved Response popup
2. Verify Cancel button state",Cancel button always enabled,- SHOULD display Cancel button as always enabled,Medium
54,,,"1. Open Create Saved Response popup
2. Verify Save button state",Save button disabled by default,- SHOULD display Save button as disabled by default,High
55,,,"1. Open Create Saved Response popup
2. Input text in both TITLE and MESSAGE fields
3. Verify Save button",Save button enabled with input,- SHOULD enable Save button when both TITLE and MESSAGE fields have input,High
56,,,"1. Open Create Saved Response popup
2. Input text in both fields
3. Click Save button
4. Verify saved response added",Save adds new response,"- SHOULD add a new saved response to the list
- SHOULD display toast ""New Saved Response created.""",Critical
57,,AC6: Edit a saved response,"1. Login as Coach
2. Open Saved Responses modal
3. Click 3-dot button on a saved response
4. Click Edit response option
5. Verify popup",Edit Saved Response popup,- SHOULD display Edit Saved Response popup,High
58,,,"1. Open Edit Saved Response popup
2. Verify popup title",popup title,"- SHOULD display title ""Edit Saved Response""",Medium
59,,,"1. Open Edit Saved Response popup
2. Verify TITLE field",TITLE field pre-populated,- SHOULD pre-populate TITLE field with existing shortcut value,High
60,,,"1. Open Edit Saved Response popup
2. Click X button with no changes
3. Verify popup closed",close with no changes,- SHOULD close the popup when no changes made,High
61,,,"1. Open Edit Saved Response popup
2. Make at least 1 change
3. Click X button
4. Verify Discard Changes popup",Discard Changes popup shown,"- SHOULD display Discard Changes popup with title ""Discard Changes?"" and text ""Are you sure you want to go? Changes have not been saved yet.""",High
62,,,"1. Open Edit Saved Response popup
2. Make changes
3. Click X button
4. In Discard Changes popup, click Cancel or X icon
5. Verify popup closed",Discard Changes Cancel,- SHOULD close Discard Changes popup and return to Edit popup,Medium
63,,,"1. Open Edit Saved Response popup
2. Make changes
3. Click X button
4. In Discard Changes popup, click Discard Changes button
5. Verify result",Discard Changes confirms,- SHOULD close Discard Changes popup and Edit popup without saving changes,High
64,,,"1. Open Edit Saved Response popup
2. Make changes to TITLE or MESSAGE field
3. Click Save button
4. Verify saved response updated",Save updates response,"- SHOULD update the saved response
- SHOULD display toast ""Saved Response updated successfully.""",Critical
65,,AC7: Delete a saved response,"1. Login as Coach
2. Open Saved Responses modal
3. Click 3-dot button on a saved response
4. Click Delete response option
5. Verify confirmation popup",Delete confirmation popup,"- SHOULD display confirmation popup with title ""Delete Response?"" and text ""This response will be permanently deleted and can't be recovered. Are you sure you want to proceed?""",High
66,,,"1. Open Delete confirmation popup
2. Click Cancel button
3. Verify popup closed",Cancel deletion,- SHOULD close the popup without deleting,Medium
67,,,"1. Open Delete confirmation popup
2. Click OK button
3. Verify saved response deleted",Confirm deletion,"- SHOULD close the popup
- SHOULD delete the response
- SHOULD display toast ""Saved Response deleted.""",Critical
68,,AC8: Add saved response to chat box by selecting an item in Saved Response popup,"1. Open Saved Responses modal
2. Select a saved response
3. Click title / Press ENTER key
4. Verify chatbox",insert via click / ENTER,- SHOULD append the full message content into the chatbox behind current text,Critical
69,"US2: As a coach who frequently messages clients, I want to create a saved response from a message in the conversation, so that I add a new saved response quicker","AC1: Add ""Save this response"" button to Coach's non-text message","1. Login as Coach on paid plan (Pro, Studio)
2. Open conversation
3. Hover over Coach's non-text message
4. Verify button",Save this response button,- SHOULD display button between 3-dot and Reply buttons,High
70,,,,button tooltip,"- SHOULD show tooltip ""Saved this response"" on hover",Medium
71,,,"1. Login as Coach on Free plan
2. Open conversation
3. Hover over Coach's non-text message
4. Verify button not shown",button hidden on Free plan,- SHOULD NOT display button when workspace is on Free plan,High
72,,AC2: Add new saved response from the conversation,"1. Login as Coach on paid plan
2. Open conversation
3. Hover over Coach's non-text message
4. Click Save this response button
5. Verify popup",Add To Saved Responses popup,"- SHOULD display popup with title ""Add To Saved Responses""",High
73,,,"1. Hover over Coach's message
2. Click Save this response button
3. Verify TITLE field",TITLE field blank,- SHOULD leave TITLE field blank,Medium
74,,,"1. Hover over Coach's message
2. Click Save this response button
3. Verify MESSAGE field",MESSAGE field pre-populated,- SHOULD pre-populate MESSAGE field with Coach's message content,High
75,,,"1. Hover over Coach's message with >10,000 characters
2. Click Save this response button
3. Verify MESSAGE field",MESSAGE field truncated,"- SHOULD pre-populate MESSAGE field with first 10,000 characters when message exceeds limit",Medium
76,,,"1. Click Save this response button
2. Input TITLE
3. Click Save button
4. Verify saved response added",Save adds response from conversation,"- SHOULD add message as a new saved response
- SHOULD display toast ""Response has been saved""",Critical
