No.,US,AC,Step,Title,Expectation,Priority
1,US1: Save and insert predefined responses in chats,AC1: Add Saved Response button in Editor nav,"1. Login as Coach
2. Open a conversation
3. Verify Editor nav",button next to GIF,- SHOULD display Saved Responses button next to GIF button,High
2,,,"4. Hover over Saved Responses button
5. Verify tooltip",hover tooltip,"- SHOULD show tooltip ""Saved Responses""",Medium
3,,AC2: Saved Response popup,"1. Login as Coach
2. Open a conversation
3. Click Saved Responses button
4. Verify modal",modal shown on click,- SHOULD display Saved Responses modal,Critical
4,,,"3. Press Ctrl/Cmd+K
4. Verify modal",modal shown via shortcut,- SHOULD display Saved Responses modal via shortcut,High
5,,,5. Verify Create New button,Create New button in top-right,"- SHOULD display ""Create New"" button in top-right corner",High
6,,,"5. Hover Create New button
6. Verify tooltip",Create New button tooltip,"- SHOULD show tooltip ""Create New""",Low
7,,,5. Verify modal with no saved responses,empty state message,"- SHOULD display ""Your saved responses list is empty. Start by creating your first one to save time during chats.""",High
8,,,5. Verify list on left side of modal,list displayed on left side,- SHOULD display list of saved response titles on left side ordered by latest updated time,High
9,,,,FREQUENTLY USED hidden when no usage,- SHOULD hide FREQUENTLY USED section when no frequently used responses,Medium
10,,,6. Verify FREQUENTLY USED section,top 5 most-used shown,- SHOULD show top 5 most-used saved responses,Medium
11,,,,fewer than 5 responses,- SHOULD show all available when fewer than 5 responses,Medium
12,,,,FREQUENTLY USED sort order,- SHOULD sort by usage_count descending then title A-Z,Medium
13,,,7. Verify ALL section,ALL section lists all responses,- SHOULD list all saved responses sorted by title A-Z,Medium
14,,,8. Verify default selection,first item selected by default,- SHOULD select first saved response in list by default,Medium
15,,,"9. Press Up/Down arrow keys
10. Verify selection",arrow keys navigation,- SHOULD move selection between responses using arrow keys,Medium
16,,,8. Verify right side of modal,message detail on right side,- SHOULD display title and message detail of selected response on right side,High
17,,,"9. Hover over message detail
10. Verify 3-dot button",3-dot on hover message detail,- SHOULD show 3-dot button on hover over message detail,Medium
18,,,,scrollable message detail,- SHOULD allow scrolling when message content is long,Low
19,,,"9. Hover over response title in list
10. Verify detail updates",hover title to preview detail,- SHOULD display message detail when hovering over response title,Medium
20,,,"11. Scroll to bottom of list
12. Verify pagination",pagination load 20 items,- SHOULD load 20 items initially and load next 20 on scroll,Medium
21,,,11. Verify footer,footer shortcut list,- SHOULD display list of shortcuts in footer,Low
22,,,"11. Click X button
12. Verify modal closes",X button closes modal,- SHOULD close the modal,High
23,,,"11. Press Esc
12. Verify modal closes",Esc closes modal,- SHOULD close the modal,Medium
24,,AC3: Search box behaviors,"1. Login as Coach
2. Open conversation
3. Open Saved Responses modal
4. Verify Search box",search box empty with placeholder,"- SHOULD display empty search box with placeholder ""Search saved response""",Medium
25,,,"5. Focus on Search box
6. Verify placeholder",focus placeholder change,"- SHOULD change placeholder to ""Enter keyword...""",Low
26,,,"7. Type text in Search box
8. Verify x icon",x icon on input,- SHOULD display x icon when text is entered,Medium
27,,,"9. Click x icon
10. Verify search cleared",clear search by x icon,- SHOULD remove search text and show full list,Medium
28,,,"7. Type 1 character
8. Verify search starts",search from 1 character,- SHOULD start searching from 1 character,Medium
29,,,,search by title and message,- SHOULD return results where title or message contains keyword,High
30,,,,case-insensitive partial match,- SHOULD match case-insensitively and partially,Medium
31,,,"7. Search for non-existing keyword
8. Verify results",no results found display,"- SHOULD show ""Search results (0)""",Medium
32,,,"7. Search for existing keyword
8. Verify results",matching results count,"- SHOULD show ""Search results ({number})"" with match count",Medium
33,,,,first result selected by default,- SHOULD select first search result by default,Medium
34,,,"9. Scroll to bottom of results
10. Verify pagination",search results pagination,- SHOULD load 20 items initially and load next 20 on scroll,Medium
35,,AC4: 3-dot button behaviors,"1. Login as Coach
2. Open conversation
3. Open Saved Responses modal
4. Click 3-dot button on a response
5. Verify submenu",submenu with Edit and Delete,"- SHOULD display submenu with ""Edit response"" and ""Delete response"" options",High
