No.,US,AC,Step,Title,Expectation,Priority
1,"US1: As a coach who frequently messages clients, I want to save and quickly insert predefined responses in chats, so that I can respond faster and maintain consistency in my communication without typing the same messages repeatedly",AC1: Add Saved Response button in Editor nav,"1. Login as Coach
2. Navigate to Inbox conversation
3. Verify Editor nav",Saved Responses button next to GIF button,- SHOULD display Saved Responses button next to GIF button,High
2,,,"4. Hover over Saved Responses button
5. Verify tooltip",tooltip shows Saved Responses,- SHOULD show tooltip Saved Responses,Medium
3,,AC2: Saved Response popup,"3. Click Saved Responses button
4. Verify modal",modal displayed on click,- SHOULD display Saved Responses modal,High
4,,,"3. Press Ctrl/Cmd + K
4. Verify modal",modal displayed via shortcut,- SHOULD display Saved Responses modal when pressing Ctrl/Cmd + K,High
5,,,,X button in top corner,- SHOULD display X button in top corner,Medium
6,,,,Search box displayed,- SHOULD display Search box,Medium
7,,,,Create new button in top-right corner,- SHOULD display Create new button in top-right corner,High
8,,,"5. Hover over Create new button
6. Verify tooltip",Create New tooltip on hover,- SHOULD display Create New tooltip when hovering,Low
9,,,5. Verify empty state,empty list message when no saved responses,- SHOULD display Your saved responses list is empty. Start by creating your first one to save time during chats.,Medium
10,,,5. Verify FREQUENTLY USED section,hide FREQUENTLY USED when no usage,- SHOULD hide FREQUENTLY USED section when no frequently used saved responses exist,Medium
11,,,5. Verify saved responses list,list displayed on left side,- SHOULD display list of saved response titles on left side below Search box,High
12,,,,list ordered by latest updated time,- SHOULD order saved responses by latest updated time,Medium
13,,,6. Verify FREQUENTLY USED section,top 5 most-used responses shown,- SHOULD show top 5 most-used saved responses by usage_count descending,Medium
14,,,,fewer than 5 responses shown,- SHOULD show all available responses when fewer than 5,Medium
15,,,,sort by usage_count desc then title A-Z,"- SHOULD sort by usage_count descending, then by title ascending when usage_count is equal",Medium
16,,,6. Verify ALL section,all responses sorted by title A-Z,- SHOULD list all saved responses sorted by title A-Z in ALL section,Medium
17,,,7. Verify default selection,first saved response selected by default,- SHOULD select the first saved response in the list by default,Medium
18,,,"8. Press Up/Down arrow keys
9. Verify selection moves",arrow keys navigate between responses,- SHOULD allow user to move between responses using Up and Down arrow keys,Medium
19,,,8. Verify right-side detail panel,message detail of selected response,- SHOULD display title and message detail of current-selecting saved response on right side,High
20,,,"9. Hover over message detail
10. Verify 3-dot button",3-dot button on hover message detail,- SHOULD show 3-dot button when hovering over message detail,Medium
21,,,9. Verify long message scrolling,scrollable message detail when long,- SHOULD allow scrolling if the message is long,Low
22,,,"9. Hover between saved response titles
10. Verify message detail updates",message detail updates on title hover,- SHOULD update message detail when hovering between titles of saved-responses list,Medium
23,,,9. Verify pagination,load 20 items initially,- SHOULD load every 20 items,Medium
24,,,"10. Scroll down to bottom
11. Verify Load more button",Load more displayed on scroll,- SHOULD display Load more and get next 20 items when user scrolls down,Medium
25,,,10. Verify footer shortcuts,footer shows list of shortcuts,- SHOULD show list of shortcuts in footer,Low
