No.,US,AC,Step,Title,Expectation,Priority
1,"US1: As a coach who frequently messages clients, I want to save and quickly insert predefined responses in chats",AC1: Add Saved Response button in Editor nav,"1. Login as Coach
2. Open a conversation in Inbox
3. Verify Saved Responses button in Editor nav",button placement,- SHOULD display Saved Responses button next to GIF button in Editor nav,High
2,,,"4. Hover over Saved Responses button
5. Verify tooltip",hover tooltip,"- SHOULD show tooltip ""Saved Responses""",High
3,,AC2: Saved Response popup,"1. Login as Coach
2. Open a conversation in Inbox
3. Click Saved Responses button
4. Verify Saved Responses modal",popup shown on click,- SHOULD display Saved Responses modal,High
4,,,"1. Login as Coach
2. Open a conversation in Inbox
3. Press Ctrl/Cmd + K
4. Verify Saved Responses modal",popup shown via shortcut,- SHOULD display Saved Responses modal via Ctrl/Cmd + K shortcut,High
5,,,"1. Login as Coach
2. Open Saved Responses modal
3. Click X button
4. Verify modal closes",X button closes modal,- SHOULD close the Saved Responses modal,High
6,,,"1. Login as Coach
2. Open Saved Responses modal
3. Press Esc
4. Verify modal closes",Esc closes modal,- SHOULD close the Saved Responses modal,Medium
7,,,"1. Login as Coach
2. Open Saved Responses modal
3. Verify Create new button",Create new button placement,- SHOULD display Create new button in top-right corner of the modal,High
8,,,"4. Hover over Create new button
5. Verify tooltip",Create new button hover,"- SHOULD display tooltip ""Create New""",Medium
9,,,"1. Login as Coach
2. Open Saved Responses modal with no saved responses
3. Verify empty state",empty state,"- SHOULD display empty state with image and text ""Your saved responses list is empty. Start by creating your first one to save time during chats.""",High
10,,,"1. Login as Coach
2. Open Saved Responses modal with saved responses
3. Verify modal layout",left side - titles list,- SHOULD display list of saved response titles on the left side of the modal,High
11,,,,right side - message detail,- SHOULD display message detail of selected saved response on the right side,High
12,,,,default selection,- SHOULD select the first saved response in the list by default,High
13,,,4. Verify FREQUENTLY USED section,FREQUENTLY USED section,"- SHOULD display FREQUENTLY USED section with top 5 most-used saved responses sorted by usage_count descending, then title A-Z when equal",High
14,,,,FREQUENTLY USED hidden when empty,- SHOULD hide FREQUENTLY USED section if no frequently used saved responses exist,Medium
15,,,5. Verify ALL section,ALL section,- SHOULD display ALL section listing all saved responses sorted by title A-Z,High
16,,,"6. Use arrow keys Up/Down
7. Verify navigation",arrow key navigation,- SHOULD allow user to move between responses using arrow keys Up and Down,High
17,,,"8. Hover over a saved response title
9. Verify message detail updates",hover to preview,- SHOULD display the hovered saved response's message detail on the right side,High
18,,,"10. Hover over message detail area
11. Verify 3-dot button",3-dot button on message hover,- SHOULD display 3-dot button when hovering over message detail,High
19,,,,message detail scrollable,- SHOULD allow scrolling if the message content is long,Medium
20,,,"1. Login as Coach
2. Open Saved Responses modal with more than 20 saved responses
3. Verify list",pagination - initial 20 items,- SHOULD load first 20 items initially,High
21,,,"4. Scroll down to bottom of list
5. Verify Load more",pagination - load more on scroll,- SHOULD display Load more and load next 20 items on scroll,High
22,,,"1. Login as Coach
2. Open Saved Responses modal
3. Verify footer",footer shortcuts,- SHOULD display list of keyboard shortcuts in the footer,Medium
23,,AC3: Search box behaviors,"1. Login as Coach
2. Open Saved Responses modal
3. Verify search box",default state with placeholder,"- SHOULD display empty search box with placeholder ""Search saved response""",High
24,,,"4. Focus on search box
5. Verify placeholder changes",focus placeholder change,"- SHOULD change placeholder to ""Enter keyword...""",Medium
25,,,"6. Input text in search box
7. Verify x icon appears",x icon on input,- SHOULD display x icon when text is inputted,High
26,,,"8. Click x icon
9. Verify search box and list",clear search restores full list,- SHOULD remove search text and show back the full list,High
27,,,"1. Login as Coach
2. Open Saved Responses modal
3. Type 1 character in search box
4. Verify search triggers",search from 1 character,- SHOULD start searching from 1 character input,High
28,,,,search title and message match,- SHOULD search based on title and message with case-insensitive partial matching,High
29,,,"1. Login as Coach
2. Open Saved Responses modal
3. Search for non-existing keyword
4. Verify results area",no results found,"- SHOULD display ""Search results (0)"" below search box",High
30,,,"1. Login as Coach
2. Open Saved Responses modal
3. Search for existing keyword
4. Verify results area",results count display,"- SHOULD display ""Search results ({number_of_matched_results})"" below search box",High
31,,,,results list default selection,- SHOULD select the first search result to view by default,High
32,,,,search results pagination,- SHOULD apply pagination with 20 items per load and Load more on scroll,Medium
33,,AC4: 3-dot button behaviors,"1. Login as Coach
2. Open Saved Responses modal
3. Hover over a saved response message detail
4. Click 3-dot button
5. Verify submenu",submenu options,"- SHOULD display submenu with ""Edit response"" and ""Delete response"" options",High
34,,AC5: Add a new saved response,"1. Login as Coach
2. Open Saved Responses modal
3. Click Create new button
4. Verify Create Saved Response popup",popup shown,"- SHOULD display Create Saved Response popup with title ""Create Saved Response""",High
35,,,"5. Click X button
6. Verify popup closes",X button closes popup,- SHOULD close the Create Saved Response popup,High
36,,,"1. Login as Coach
2. Open Create Saved Response popup
3. Verify TITLE field",Title field default state,"- SHOULD display required empty TITLE field with placeholder ""Name this response for easy search""",High
