No.,US,AC,Step,Title,Expectation,Priority
1,"US1: As a coach who frequently messages clients, I want to save and quickly insert predefined responses in chats.","AC1: Add Saved Response button in Editor nav (next to GIF button, tooltip ""Saved Responses"")","1. Login as Coach in Pro plan workspace
2. Open chat editor",Saved Response button - display,- SHOULD see Saved Response button next to GIF button,High
2,,,"1. Login as Coach in Pro plan workspace
2. Open chat editor
3. Hover over Saved Response button",Saved Response button - tooltip,"- SHOULD see tooltip ""Saved Responses""",Medium
3,,"AC2: Saved Response popup (X button/Esc to close, Search box, ""Create new"" button, empty state, list with FREQUENTLY USED section top 5 most-used + ALL section A-Z, right-side message detail, 3-dot hover, arrow key navigation, pagination 20 items, footer shortcuts). Shortcut Ctrl/Cmd+K to open.","1. Login as Coach in Pro plan workspace
2. Open chat editor
3. Click Saved Response button",Saved Response popup - X button close,- SHOULD close popup when clicking X button,High
4,,,"1. Login as Coach in Pro plan workspace
2. Open chat editor
3. Click Saved Response button
4. Press Esc key",Saved Response popup - Esc close,- SHOULD close popup when pressing Esc,High
5,,,"1. Login as Coach in Pro plan workspace
2. Open chat editor
3. Click Saved Response button",Saved Response popup - Search box,- SHOULD show Search box,High
6,,,,Saved Response popup - Create new button,"- SHOULD show ""Create new"" button",High
7,,,,Saved Response popup - empty state,- SHOULD show empty state when no saved responses exist,Medium
8,,,"1. Login as Coach in Pro plan workspace with saved responses
2. Open chat editor
3. Click Saved Response button",Saved Response popup - FREQUENTLY USED section,- SHOULD show FREQUENTLY USED section with top 5 most-used responses,High
9,,,,Saved Response popup - ALL section,- SHOULD show ALL section with responses sorted A-Z,High
10,,,,Saved Response popup - message detail panel,- SHOULD show right-side message detail panel,High
11,,,"1. Login as Coach in Pro plan workspace with saved responses
2. Open chat editor
3. Click Saved Response button
4. Hover over a saved response item",Saved Response popup - 3-dot menu hover,- SHOULD show 3-dot menu on hover,High
12,,,"1. Login as Coach in Pro plan workspace with saved responses
2. Open chat editor
3. Click Saved Response button
4. Press arrow keys",Saved Response popup - arrow key navigation,- SHOULD support arrow key navigation through list,Medium
13,,,"1. Login as Coach in Pro plan workspace with 21+ saved responses
2. Open chat editor
3. Click Saved Response button",Saved Response popup - pagination,- SHOULD paginate list at 20 items,Medium
14,,,"1. Login as Coach in Pro plan workspace
2. Open chat editor
3. Click Saved Response button",Saved Response popup - footer shortcuts,- SHOULD show footer shortcuts,Low
15,,,"1. Login as Coach in Pro plan workspace
2. Open chat editor
3. Press Ctrl/Cmd+K",Saved Response popup - keyboard shortcut,- SHOULD open popup via Ctrl/Cmd+K shortcut,High
16,,"AC3: Search box behaviors (empty by default placeholder ""Search saved response"", focus changes to ""Enter keyword..."", x icon to clear, search from 1 char, case-insensitive partial match on title and message, results count display, pagination 20 items)","1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. View Search box",Search box - empty placeholder,"- SHOULD show placeholder ""Search saved response"" when empty",High
17,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Focus on Search box",Search box - focus placeholder,"- SHOULD change placeholder to ""Enter keyword..."" on focus",Medium
18,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Enter text in Search box",Search box - clear icon,- SHOULD show X icon to clear when has text,Medium
19,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Enter 1 character in Search box",Search box - search from 1 char,- SHOULD trigger search from 1 character,High
20,,,"1. Login as Coach in Pro plan workspace with saved responses
2. Open Saved Response popup
3. Enter keyword in Search box with mixed case",Search box - case-insensitive partial match,- SHOULD match case-insensitive partial on title and message,High
21,,,"1. Login as Coach in Pro plan workspace with saved responses
2. Open Saved Response popup
3. Enter keyword in Search box",Search box - results count display,- SHOULD display results count,Medium
22,,,"1. Login as Coach in Pro plan workspace with 21+ matching saved responses
2. Open Saved Response popup
3. Enter keyword in Search box",Search box - results pagination,- SHOULD paginate search results at 20 items,Medium
23,,"AC4: 3-dot button behaviors (submenu with Edit response, Delete response options)","1. Login as Coach in Pro plan workspace with saved responses
2. Open Saved Response popup
3. Hover over a saved response item
4. Click 3-dot button",3-dot menu - submenu options,"- SHOULD show submenu with ""Edit response"" and ""Delete response"" options",High
24,,"AC5: Add a new saved response (Create Saved Response popup, X button, TITLE field with info tooltip ""Used to organize responses. This won't appear in messages."", required, max 140 chars with paste cutoff, MESSAGE field required, max 10,000 chars with count display ""{X}/10000"", no text-formatting allowed, Cancel always enabled, Save disabled by default enabled when both fields have input, toast ""New Saved Response created."")","1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Click ""Create new"" button",Create Saved Response popup - X button,- SHOULD show X button to close popup,High
25,,,,Create Saved Response popup - TITLE field display,- SHOULD show TITLE field,High
26,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Click ""Create new"" button
4. Hover over TITLE field info icon",Create Saved Response popup - TITLE tooltip,"- SHOULD show info tooltip ""Used to organize responses. This won't appear in messages.""",Medium
27,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Click ""Create new"" button
4. Leave TITLE field empty
5. Enter MESSAGE
6. Click Save",Create Saved Response popup - TITLE required,- SHOULD require TITLE field to be filled,High
28,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Click ""Create new"" button
4. Enter 140 characters in TITLE field
5. Try to enter one more character",Create Saved Response popup - TITLE max 140 chars,- SHOULD limit TITLE to 140 characters,Medium
29,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Click ""Create new"" button
4. Copy text longer than 140 characters
5. Paste into TITLE field",Create Saved Response popup - TITLE paste cutoff,- SHOULD cut off pasted text at 140 characters,Medium
30,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Click ""Create new"" button",Create Saved Response popup - MESSAGE field display,- SHOULD show MESSAGE field,High
31,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Click ""Create new"" button
4. Leave MESSAGE field empty
5. Enter TITLE
6. Click Save",Create Saved Response popup - MESSAGE required,- SHOULD require MESSAGE field to be filled,High
