No.,US,AC,Step,Title,Expectation,Priority
1,US1: Save and insert predefined responses in chats,AC1: Add Saved Response button in Editor nav,"1. Open a conversation
2. Verify Editor nav",Saved Responses button placement,- SHOULD display Saved Responses button next to GIF button in Editor nav,High
2,,,"1. Open a conversation
2. Hover over the Saved Responses button
3. Verify tooltip",Saved Responses button tooltip,"- SHOULD show tooltip: ""Saved Responses""",Medium
3,,AC2: Saved Response popup,"1. Open a conversation
2. Click the Saved Responses button OR press Ctrl/Cmd+K
3. Verify modal",Saved Responses modal opens,- SHOULD display Saved Responses modal,High
4,,,,modal X button exists,"- SHOULD display X button in modal
- SHOULD close modal on X button click",High
5,,,,modal Search box exists,- SHOULD display Search box (refer to AC3),High
6,,,,Create new button placement and label,"- SHOULD display Create new button in top-right corner
- SHOULD show label ""Create New"" on hover",Medium
7,,,"1. Open Saved Responses modal with no saved responses
2. Verify empty state",empty state message,"- SHOULD display empty state: ""{image} Your saved responses list is empty. Start by creating your first one to save time during chats.""",High
8,,,"1. Open Saved Responses modal with saved responses present
2. Verify list layout",list left-side titles exist,- SHOULD display list of saved response titles on the left side of the modal,High
9,,,,FREQUENTLY USED section hidden when no frequent responses,- SHOULD hide FREQUENTLY USED section if user has no frequently used responses,Medium
10,,,"1. Open modal with saved responses that have usage counts
2. Verify FREQUENTLY USED section",FREQUENTLY USED section shows top 5,"- SHOULD show top 5 most-used saved responses
- SHOULD sort by usage_count descending; when equal, sort by title ascending (A-Z)
- SHOULD show all available responses if fewer than 5 exist",High
11,,,"1. Open modal with saved responses
2. Verify ALL section",ALL section list and default selection,"- SHOULD display all saved responses sorted by title A-Z
- SHOULD select first saved response by default",High
12,,,,arrow-key navigation in list,- SHOULD allow Up/Down arrow keys to move between responses in the list,Medium
13,,,"1. Open modal with saved responses
2. Observe right side panel",right-side message detail display,- SHOULD display title and message detail of currently selected saved response on the right side,High
14,,,,hover title shows message detail,- SHOULD show message detail on the right when hovering over a saved response title,Medium
15,,,"1. Open modal with a saved response that has a long message
2. Verify right-side panel scrolling",long message scrollable,- SHOULD allow scrolling in right-side panel when message is long,Medium
16,,,"1. Open modal with more than 20 saved responses
2. Verify list pagination",pagination loads 20 items initially,"- SHOULD load 20 items per page
- SHOULD display Load more when user scrolls down and load next 20 items",High
17,,,"1. Open Saved Responses modal
2. Verify footer",footer shortcuts display,- SHOULD show footer with shortcuts: X button or Esc closes the popup,Medium
18,,,"1. Open Saved Responses modal
2. Press Esc
3. Verify modal state",Esc closes modal,- SHOULD close modal on Esc press,High
19,,AC3: Search box behaviors,"1. Open Saved Responses modal
2. Observe Search box",search box default state,"- SHOULD display search box empty by default with placeholder ""Search saved response""",Medium
20,,,"1. Open Saved Responses modal
2. Click/focus the Search box
3. Verify placeholder",search box focused placeholder,"- SHOULD change placeholder to ""Enter keyword…"" when focused",Low
21,,,"1. Open modal
2. Type text into Search box
3. Verify x icon",x icon appears when text entered,- SHOULD display x icon when text is entered in search box,Medium
22,,,"1. Type text in Search box
2. Click x icon or press Backspace
3. Verify search box and list",clear search restores full list,"- SHOULD remove search input and restore full saved responses list
- SHOULD hide x icon when search box is empty",High
23,,,"1. Open modal
2. Type 1 character in Search box
3. Verify results",search triggers from 1 character,- SHOULD start searching from 1 character input,High
24,,,"1. Type a keyword that matches title or message field (partial, case-insensitive)
2. Verify results",case-insensitive partial search on title and message,"- SHOULD return all saved responses where title or message contains the keyword
- SHOULD match case-insensitively and partially (keyword anywhere in field)",High
25,,,"1. Type a keyword with no matching results
2. Verify results count label",no results found label,"- SHOULD show ""Search results (0)"" below Search box",High
26,,,"1. Type a keyword with matching results
2. Verify results count label",matching results count label,"- SHOULD show ""Search results ({number_of_matched_results})"" below Search box",High
27,,,,search results list and default selection,"- SHOULD display matching results list same as AC2 list format
- SHOULD select first result by default",High
28,,,"1. Search with more than 20 matching results
2. Verify pagination",search results pagination,"- SHOULD load 20 results per page
- SHOULD display Load more on scroll and load next 20 items",Medium
29,,AC4: 3-dot button behaviors,"1. Open Saved Responses modal with saved responses
2. Hover over a saved response message detail on the right side
3. Click 3-dot button
4. Verify submenu",3-dot submenu options,"- SHOULD display submenu with options: ""Edit response"" and ""Delete response""",High
30,,AC5: Add a new saved response,"1. Open Saved Responses modal
2. Click + Create new button
3. Verify popup",Create Saved Response popup opens,"- SHOULD display Create Saved Response popup with title ""Create Saved Response""",High
31,,,,create popup X button closes popup,"- SHOULD display X button
- SHOULD close popup on X button click",High
