ID,Test Scenarios,Items for Pivot Table,Step,Test Data,Expected
,US10. Book a session for a client,,,,
US10-1,Open Book Session popup via CTA button,US10 / AC1,"1. Navigate to Calendar page on Booking feature
2. Click ""Book a session"" CTA button
3. Verify the popup appears","Logged in as Owner/Admin
Booking feature enabled","- ""Book a session"" popup is displayed
- Background calendar is dimmed
- Focus is trapped inside the modal
- Popup includes: Trainer (disabled), Client, Start Date, Start Time, Type, Name, Duration, Location, Description, Add note to client, Book Session button, Cancel button, Close icon"
US10-2,Open Book Session popup via double-click on blank space,US10 / AC1,"1. Navigate to Calendar page
2. Double-click on a blank space on the calendar
3. Verify the popup appears",Calendar page is displayed,"- ""Book a session"" popup is displayed
- Background calendar is dimmed
- Focus is trapped inside the modal"
US10-3,Verify default field values when opening via CTA button,US10 / AC1,"1. Click ""Book a session"" CTA button
2. Verify default values in all fields",Today's date: Mar 9 2026,"- Start date defaults to today (Mar 9, 2026)
- Start time defaults to 7:00 AM
- Trainer field is disabled and shows WS Owner
- Location defaults to ""In-person""
- Duration defaults to 30 min"
US10-4,Verify prefilled values when clicking time slot on Day view,US10 / AC1,"1. Switch calendar to Day view
2. Click on the 6 AM - 7 AM time slot
3. Verify prefilled values","Day view selected
Clicked date: Mar 9, 2026","- Start date = Mar 9, 2026
- Start time = 6:00 AM"
US10-5,Verify prefilled values when clicking time slot on Week view,US10 / AC1,"1. Switch calendar to Week view
2. Click on a time slot (e.g., 10 AM - 11 AM on Mar 10)
3. Verify prefilled values","Week view selected
Clicked date: Mar 10, 2026","- Start date = Mar 10, 2026
- Start time = 10:00 AM"
US10-6,Verify prefilled values when clicking time slot on Month view,US10 / AC1,"1. Switch calendar to Month view
2. Click on a date cell (Mar 12)
3. Verify prefilled values","Month view selected
Clicked date: Mar 12, 2026","- Start date = Mar 12, 2026
- Start time defaults to 7:00 AM"
US10-7,Search and select a client from dropdown,US10 / AC2,"1. Open Book a session popup
2. Click ""Client"" field
3. Verify dropdown appears with client list
4. Type ""John"" in the search field
5. Select a client from the filtered results","Client ""John Doe"" exists in WS
Client is not Pending/Archived/Waiting Activation","- Searchable dropdown appears with hover state
- Clients sorted alphabetically by name
- First 20 clients loaded initially
- After typing ""John"", search triggers after 200ms debounce
- Matching clients displayed with: Profile image, Name, Email
- Selecting client closes the dropdown"
US10-8,Client dropdown scrolling loads next batch,US10 / AC2,"1. Open Client dropdown
2. Scroll to bottom of initial 20 clients
3. Verify next batch loads",WS has more than 20 eligible clients,"- First 20 clients loaded initially
- Scrolling loads next 20 clients"
US10-9,Client search with no matching results,US10 / AC2,"1. Open Client dropdown
2. Type ""zzzznonexistent"" in search field
3. Verify empty state",No client matching ""zzzznonexistent"","- Blank dropdown list displayed
- Message: ""No clients found."""
